0.047161	-0.124251	-0.497513	-0.486033	0.563093	-0.232163	0.522055	-0.458483	-0.475876	-0.076669	0.464279	0.208008	0.416702	-0.299380	-0.032224	-0.166937	-0.187233	0.340442	0.160509	-0.355154	0.436504	-0.141633
1.190434	0.660083	0.311379	-0.289678	-0.713993	0.542071	0.807283	-0.116146	-0.136240	-0.817224	-0.040498	-1.518256	-0.793091	1.028092	-1.931775	1.226218	-0.555977	2.065067	-1.181270	2.034066	0.001839	-0.256302
-0.323149	-0.003545	-0.524333	-0.645492	0.490018	-0.208121	0.575552	-0.278688	-0.316118	0.010158	0.510420	0.139042	0.355549	-0.017158	0.299451	-0.200432	-0.179584	0.451994	0.206989	-0.184369	0.654235	-0.280634
0.106652	0.188592	-0.226253	-0.401283	0.898274	-0.296815	0.679129	-0.088121	-0.251722	0.536221	0.736507	0.364704	0.075190	0.076932	-0.061280	0.477019	0.128642	0.587988	0.191057	-0.544080	0.639761	0.091738
0.073512	0.202768	-0.145059	-0.313208	0.578815	-0.240704	0.538551	-0.097657	-0.257775	0.378655	0.570006	0.157401	0.035255	-0.027320	0.074580	0.369865	0.015423	0.380165	0.135134	-0.420951	0.441280	0.028355
-0.033816	0.179776	0.239408	-0.265771	1.789627	-0.468632	0.267547	1.235108	0.666365	1.313444	0.414115	0.954573	-2.004708	1.264058	-0.901522	1.315453	0.675066	0.909290	-0.654365	-0.145743	0.861520	1.285661
-0.449679	0.047566	-0.399602	-0.088377	0.479113	-0.158216	0.384529	-0.505144	-0.609698	-0.246463	0.538366	0.006628	0.205573	0.189453	-0.285787	0.100248	-0.060699	0.271365	0.060637	-0.217024	0.329867	0.105650
1.140857	1.841701	1.104070	0.296049	0.868283	0.812063	1.181944	1.491215	0.405894	0.537316	0.090859	-1.452560	-1.928296	0.638700	-1.325265	0.302316	0.677311	1.047675	0.989055	-0.192989	-0.053965	1.155065
0.441132	0.322009	-0.222319	-0.091885	0.360703	-0.020545	0.417130	-0.227124	-0.303935	-0.056522	0.328632	0.036973	-0.136586	-0.177137	-0.134280	-0.042588	0.358088	0.403493	0.425155	-0.202443	0.447115	0.023243
-0.321158	-0.178584	-0.089724	-0.079252	0.474078	-0.275216	0.475596	-0.398664	-0.263262	-0.007672	0.439616	0.076502	0.422844	-0.096311	0.029656	0.270970	-0.153592	0.125616	0.012211	-0.233955	0.283069	-0.456576
